KRESTOR LABS - MASTER BUSINESS MODEL & REVENUE ROADMAP v3.0,,,,,,
Last Updated: March 2026 | All prices in INR | Solo founder bootstrapped,,,,,,
,,,,,,
,,,,,,
========== SHEET 1: HARDWARE CAPEX (ONE-TIME ENTRY TICKET) ==========,,,,,,
"High-margin day-one revenue. Covers hardware, enclosure, installation labour, and baseline calibration.",,,,,,
,,,,,,
Hardware Component,Internal BOM Cost (INR),Price to Customer (INR),Gross Profit (INR),Gross Margin %,Sales Justification / Deployment Rule,
Motherbox (Edge Gateway),6740,25000,18260,73%,Mandatory. 1 per factory. 2 for large mills over 5000 sqm. Includes 4G SIM setup and local network calibration.,
Kit 1 - Production Node (Textile),2539,12000,9461,79%,Bolted to looms and motors. Energy + Vibration + Acoustic + RPM + RFID tap + Andon button.,
Kit 2 - Utility Node (Main Incomer),3024,15000,11976,80%,Inside electrical panels. 3-Phase CT clamps + Air Compressor pressure. Solves I2C distance problem.,
Kit 3 - Environment Node (Zones),2274,12000,9726,81%,Wall-mounted per section. Humidity + Temp + Air Quality + Water Flow + RFID gate.,
Kit 4 - Boiler / Steam Node,3152,18000,14848,82%,Premium tier. High-pressure transducers and high-temp thermocouples. For integrated mills with dyeing or sizing.,
Kit 5 - Cold Chain Node (Year 2),3002,18000,14998,83%,SHT31 + multi DS18B20 probes + door sensors. MANDATORY: conformal coating. Cold-rated enclosure.,
Kit 6 - Furnace Node (Year 3),3909,22000,18091,82%,IR pyrometer + 300A CT clamps. MANDATORY: grounded metal enclosure + shielded cables for furnace EMI.,
RFID Worker Card (per card),16,100,84,84%,Mifare Classic 1K. Passive NFC. No battery. One per worker. Worn on lanyard.,
Auditor Portable Kit (Year 2),27160,150000,122840,82%,1 Motherbox + 5 Utility Nodes + Pelican case + magnetic mounts + split-core CT clamps. Sold to energy auditors.,
,,,,,,
,,,,,,
========== SHEET 2: SAAS & ENTERPRISE LOCK-IN (RECURRING REVENUE) ==========,,,,,,
Recurring monthly revenue. Platform fee + per-node SaaS + ERP Bridge + add-ons.,,,,,,
,,,,,,
Revenue Stream,Price (INR),Billing Cycle,Target Segment,What is Included / Business Value,,
[TIERED] Core Platform Fee - Small (up to 25 nodes),8000,Monthly,Small Mills,MANDATORY for all customers. AWS hosting + 4G data + 5 admin logins + automated daily shift PDFs.,,
[TIERED] Core Platform Fee - Medium (26-100 nodes),15000,Monthly,Medium Mills,MANDATORY. Same as above. Tiered to prevent disproportionate cost for small factories.,,
[TIERED] Core Platform Fee - Large (101+ nodes),20000,Monthly,Large Mills,MANDATORY. Same as above.,,
Basic Tier (Decoy - do not actively sell),600 / node,Monthly,Entry-Level Evaluation,Entry-level monitoring only. Raw CSV export. No dashboard. No alerts. Makes Standard look like obvious value.,,
Standard Tier (Target - 80% of customers),1400 / node,Monthly,Textile Mid-Market,Live dashboard + Predictive maintenance alerts + TANGEDCO PF and Time-of-Day peak load shifting + OEE tracking + WhatsApp alerts (up to 50 per node per month).,,
Professional Tier (Enterprise),2400 / node,Monthly,Large Textile Mills,Everything in Standard + RFID Worker Gamification Leaderboards + ESG Carbon export (kWh x 0.71 kg CO2) + automated ESG compliance PDFs.,,
Steel Plant Tier (Year 3),3500 / node,Monthly,SME Induction Furnace Plants,Energy-per-Tonne tracking + Furnace Refractory degradation score + Tap-to-tap cycle analytics.,,
Cold Chain Standard (Year 2),2800 / node,Monthly,General Cold Storage,60-second temp excursion alerts + compressor efficiency index + door open tracking + defrost optimisation.,,
Cold Chain Pharma Compliance (Year 2),4500 / node,Monthly,Regulated Pharma and Food,Everything in Cold Chain Standard + FSSAI-format compliance PDFs + pharma audit exports + 24-hour SLA.,,
Consultant SaaS - Auditor License (Year 2),5000,Monthly per auditor,Certified Energy Auditors,Auditor-in-a-Box software license. Automated 20-page audit PDF generation. Unlimited audit reports per month.,,
ERP Bridge Setup Fee,120000,One-Time,Factories with Accountants,Custom API mapping of Krestor PostgreSQL data to Tally or SAP ledger structure. 3-4 days of integration work.,,
ERP Bridge Monthly Maintenance,15000,Monthly,Factories with Accountants,Replaces 25000/month accountant manual data entry. Auto-syncs shift data to financial ledgers nightly at 11:59 PM.,,
[NEW] Industry Benchmark Module - Coimbatore Index (Year 2),4000,Monthly,Existing Standard and Pro customers,Shows factory ranking vs anonymised peers. Top 10% / Middle 50% / Bottom 20% for PF and energy-per-metre. Requires 20+ factories on platform.,,
[NEW] Repair Shop Lead-Gen Dashboard (Year 2),10000,Monthly per repair shop,Coimbatore Motor Repair Shops,Mechanic dashboard shows incoming predictive failure alerts from subscribed factories. Factory owner consent required.,,
WhatsApp Alerts Included,Included,Monthly,Standard and Pro Tiers,Up to 50 alerts per node per month included in tier price.,,
WhatsApp Alerts Excess Billing,2 / alert,Monthly,All Tiers,Billed per alert above 50 alerts per node per month threshold.,,
Annual Maintenance - Motherbox AMC,8000,Annual - starts Year 2,All Factories,Priority support + defective hardware replacement after warranty.,,
Annual Maintenance - Node AMC,1500 / node,Annual - starts Year 2,All Factories,Covers physical wear and tear on factory floor.,,
[NEW] CLCSS Subsidy Documentation Service,15000,One-Time per customer,All Factory Customers,Krestor prepares CLCSS capital subsidy application for customer. 15% of hardware CapEx back from government. 2-3 hours of work. Strong sales tool.,,
[NEW] OEM Bulk Node Supply (Year 3),6000 to 8000 / node,Per order (500+ units),LMW and Textile OEM Manufacturers,Wholesale price for nodes pre-installed in OEM machinery. Lower margin but zero CAC. Factory owner activates SaaS when machine is commissioned.,,
[NEW] OEM Mandatory SaaS Activation (Year 3),800 to 1000 / node,Monthly,End-users of OEM machinery,Factory owner pays SaaS to unlock data from Krestor-enabled machine. Captive subscriber base.,,
,,,,,,
,,,,,,
========== SHEET 3: THE 60-DAY PILOT FUNNEL (STANDARD SALES MOTION) ==========,,,,,,
Every factory sale starts here. Low-risk entry that converts to full deployment.,,,,,,
,,,,,,
Phase,Component,Cost / Pricing (INR),Rules / Constraints,Description,,
